Date/Company ,TMK(SPO1),MICEX,TMK(SPO2),MICEX,Мечел,MICEX,Алроса,MICEX,Фосагро(SPO1),MICEX,Фосагро(SPO2),MICEX,Синергия (SPO1),MICEX,Синергия (SPO2),MICEX,Синергия (SPO3),MICEX,Разгуляй (SPO1),MICEX,Разгуляй (SPO2),MICEX,Разгуляй (SPO3),MICEX
T-97,144.55,1419.42,54.9,1996.58,744,1526.64,69.19,1726.04,1287,1373.83,2573,2025.3,367,1094.73,879.99,1378.7,1200,1440.3,98,1701.09,184.5,1642.63,122.5,1568.88
T-96,142.65,1417,54.5,1981.96,746,1533.92,70.95,1738.54,1269,1372.19,2547,2011.83,362,1034.37,905.01,1352.01,1199.99,1455.63,96.51,1673.59,185,1574.33,122.815,1605.1
T-95,134.95,1436.63,54.5,1986.97,750.99,1552.21,69,1753.86,1290,1386.25,2560,1997.94,364.98,1054.03,950,1357.26,1185,1465.09,97.001,1675.65,185.5,1640.49,120.989,1665.47
T-94,139,1431.08,54.5,1991.78,758,1556.8,68.29,1770.31,1298.9,1383.66,2546,1975.52,379.98,1050.95,930,1362.32,1185.15,1474.03,96.99,1654.93,185.1,1677.78,123,1688.3
T-93,136.11,1395.87,54.6,1997.67,756.99,1550.42,68.6,1807.21,1310,1398.57,2535,1980.68,458.14,1040.9,949.99,1320.9,1115,1475.12,97.5,1672.68,185.98,1632.37,123.5,1687.9
T-92,131.21,1355.64,58.7,2025.3,743,1536.87,69.19,1793.37,1316,1396.39,2524,1996.12,475,1059.6,945,1263.99,1080,1468.31,98,1654.89,185.5,1631.1,125.82,1655.31
T-91,130,1322.15,57.9,2011.83,751.99,1561.97,70.35,1822.38,1320.5,1405.7,2490,1978,490,1075.02,910,1264.91,1080,1464.67,98,1669.28,185.197,1581.96,125,1692.38
T-90,133,1338.16,59.6,1997.94,759.94,1571.31,71.3,1797.27,1347.8,1402.64,2453,1986.8,561.93,1123.38,900,1269.37,1077,1482.11,98,1665.96,192.599,1568.88,127,1706.47
T-89,131.2,1327.24,61.85,1975.52,745,1566.41,70.52,1803.89,1357,1413.15,2458,1985.02,535,1206.2,898.6,1197.39,1082,1477.78,98.01,1682.69,192.5,1605.1,127,1683.43
T-88,132.55,1329.35,61.5,1980.68,742.38,1554.65,69.4,1816.73,1312.2,1403.94,2440,1975.85,530.01,1198.58,940,1265.18,1084,1493.21,98.9,1705.49,188,1665.47,129,1723.02
T-87,131.27,1304.86,62.65,1996.12,744,1565.52,69.5,1840.17,1308,1394.87,2439,1983.88,523.52,1109.21,865,1305.99,1088,1489.06,98,1702.04,191,1688.3,126.12,1721.11
T-86,130,1319.22,62,1978,762.09,1601.76,70.75,1844.17,1296.5,1380.94,2421,1980.02,478.04,1120.46,888,1309.09,1095,1491.48,98,1729.26,191.19,1687.9,127.5,1726.03
T-85,134,1361.49,61.75,1986.8,791,1632.37,71.46,1832.84,1286.3,1388.31,2423,2001.1,539.98,1144.27,936.95,1332.62,1103.95,1500.65,104,1734.63,194.2,1655.31,128.6,1710.73
T-84,136.05,1354.09,61.85,1985.02,828.99,1649.56,71.72,1858.69,1279.2,1405.97,2432,2001.42,525,1120.32,948.98,1325.49,1100,1490.49,106.05,1753.75,202.6,1692.38,129,1689.5
T-83,134.4,1338.77,61.35,1975.85,839.99,1672.57,72.25,1878.29,1288,1421.97,2446,1993.35,523,1113.83,962.99,1341.24,1095,1493.49,105.6,1723.3,211,1706.47,132.99,1660.42
T-82,134.68,1353.75,61.95,1983.88,830.05,1676.41,72.95,1909.57,1281.4,1411.83,2429,1976.37,510.01,1133.69,970,1350.48,1098,1528.11,104.6,1737.63,216,1683.43,141,1643.31
T-81,133.77,1334.53,62,1980.02,828.41,1650.08,71,1883,1281.5,1435.97,2420,1966.39,517,1138.52,979.5,1333.49,1092,1519.3,106,1787.79,210.6,1723.02,143.1,1636.2
T-80,133.98,1306.46,61.55,2001.1,826.71,1660.62,70.75,1884.63,1278.8,1438.54,2419,1956.95,520,1078.1,970,1322,1090,1528.24,107.99,1791.55,222.5,1721.11,144,1655.66
T-79,133.5,1323.72,61.7,2001.42,825,1656.34,70.65,1876.54,1275.7,1441.47,2410,1969.11,510,1099.42,971.14,1301.41,1092.99,1524.83,106.5,1792.99,216.57,1726.03,152,1652.01
T-78,132.8,1332.64,62,1993.35,840.99,1662.45,70.45,1865.31,1273.2,1447.72,2357,1967.5,535,1039.43,996.44,1315.13,1101.97,1507.05,108,1789.88,213.199,1710.73,153.3,1619.3
T-77,135.78,1356.27,61.5,1976.37,853.62,1666.28,70.03,1855.06,1262.9,1448.43,2240,1957.09,520,1020.95,969.91,1340.09,1101.97,1506.6,108.5,1767.64,207,1689.5,155,1674.47
T-76,137.5,1368.09,61.55,1966.39,858.5,1670.26,70,1871.2,1248.2,1466.51,2225,1957.7,530,1017.29,961,1336.09,1095.47,1523.39,109,1799.74,212,1660.42,156.899,1677.41
T-75,140.41,1379.32,60.9,1956.95,841.6,1660.2,71,1890.79,1235,1462.87,2291,1962.79,525,937.98,969.97,1371.31,1105.5,1533.7,109.2,1791.6,210.1,1643.31,157,1647.52
T-74,139.58,1384.44,60.95,1969.11,861.8,1666.84,70.17,1914.02,1231.7,1466.15,2300,1977.19,520.04,917.3,970,1369.59,1104,1537.27,109.5,1807.28,209.5,1636.2,160.49,1651.91
T-73,140.97,1414.37,61.55,1967.5,865.9,1663.11,71.06,1904.5,1407,1469.53,2330,1974.81,530,984.86,969.99,1356.18,1106.99,1540.11,109.25,1766.92,211.88,1655.66,165,1582.02
T-72,137.15,1412.55,61,1957.09,877,1673.83,70.85,1903.47,1247.5,1481.54,2353,1979.8,528.01,961.15,950,1367.71,1107,1568.26,107.51,1780.62,195,1652.01,163.02,1607.84
T-71,138.71,1402.35,59.4,1957.7,892.21,1682.61,71.2,1879.89,1232.9,1478.83,2341,1981.76,550,960.16,965,1406.21,1103,1594.72,107.1,1724.28,197,1619.3,170.698,1602.52
T-70,139.83,1395.91,59.75,1962.79,884.57,1684.52,70.68,1866.67,1247.9,1488.22,2360,1989.64,540,989.3,965,1388.11,1089.15,1574.63,107.879,1703.01,193.9,1674.47,174,1569.18
T-69,140,1415.75,61.7,1977.19,873.84,1675.81,70.36,1866.23,1244,1477.44,2313,1996.87,550,971.55,965,1377.97,1099.25,1556.43,108.55,1702.63,193.4,1677.41,177,1576.47
T-68,140.65,1400.19,62.25,1974.81,856,1663.55,68.93,1849.31,1239.9,1471.73,2295,1968.77,515,1012.48,956,1363.15,1099,1548.96,106.8,1734.42,191,1647.52,184.5,1623.35
T-67,143.93,1420.76,63.2,1979.8,856.25,1664.86,69.24,1845.2,1236,1473.53,2250,1962.71,509.99,977.09,965,1347.58,1098.99,1541.1,104,1693.14,192.31,1651.91,189,1594.02
T-66,147.9,1435.31,61.6,1981.76,877.07,1677.68,70,1868.1,1234.1,1478.61,2259,1952.69,540,974.07,955.56,1363.4,1110,1556.18,104.1,1712.2,188.99,1582.02,187,1593.73
T-65,149.69,1433.45,63.55,1989.64,881.5,1687.99,69.6,1871.15,1243.7,1478.24,2331,1967.93,555,925.21,950.4,1323.29,1116,1526.64,106.49,1715.47,186.43,1607.84,187.799,1618.61
T-64,146.29,1421.09,64.45,1996.87,948.89,1713.97,70.3,1856.77,1246.9,1474.72,2340,2011.58,544.97,927.01,968.96,1309.31,1130,1533.92,105.999,1689.42,187.5,1602.52,200,1627.87
T-63,144.01,1417.55,64.45,1968.77,970,1759.46,70.2,1866.64,1256.4,1514.82,2370,2044.03,536.86,904.58,950,1254.65,1121,1552.21,106.55,1692.1,188.1,1569.18,193.449,1628.43
T-62,145.3,1410.61,66.25,1962.71,957.5,1749.75,70.1,1857.09,1269.5,1516.01,2416,2031.92,538.92,896.2,950,1288.05,1124.98,1556.8,107,1725.32,198.489,1576.47,186,1640.75
T-61,144.9,1404.77,66.45,1952.69,933.01,1744.74,70.15,1860.17,1247,1507.16,2440,2021.99,535,871.33,950,1292.19,1130.99,1550.42,105.5,1676.36,198.45,1623.35,180.5,1652.86
T-60,151.5,1406.66,66.7,1967.93,954.98,1771.66,70.1,1858.85,1215.7,1510.84,2469,2017.06,522.14,881.15,950,1327.63,1147,1536.87,104,1644.13,200,1594.02,193,1631.2
T-59,153,1415.54,68.9,2011.58,946.96,1765.3,71.89,1877.27,1210.7,1528.48,2454,2028.92,501.05,891.41,989,1327.77,1176,1561.97,105.5,1680.03,196.999,1593.73,191.991,1635.04
T-58,156,1440.2,67.8,2044.03,940.39,1764.44,71.7,1906.9,1209.1,1515.25,2495,2042.76,515,941.21,979.11,1320.64,1214.98,1571.31,104.1,1676.85,195,1618.61,189,1673.78
T-57,152.44,1443.81,67.25,2031.92,911.9,1733.89,71.75,1899.26,1210,1514.86,2492,2038.29,500,938.73,979.98,1324.17,1222.96,1566.41,104.245,1639.68,189.999,1627.87,198.5,1655.59
T-56,150.5,1450.15,67.7,2021.99,926.81,1747.39,71.2,1932.8,1211,1523.74,2538,2058.77,450,966.18,974,1344.57,1203.97,1554.65,101,1599.39,189.763,1628.43,194,1681.54
T-55,156.97,1479.66,67.5,2017.06,913.99,1720.7,71.6,1915.85,1207.9,1540.55,2540,2066.18,509.98,985.81,989.78,1367.91,1209.98,1565.52,102,1637.81,186.79,1640.75,190,1684.56
T-54,158.09,1480.17,67.45,2028.92,917,1716.24,71.45,1907.78,1218.4,1537.66,2589,2085.75,442.02,1002.88,1009.99,1358.6,1270.01,1601.76,102.69,1621.98,183.89,1652.86,195.9,1649
T-53,157.27,1487.55,67.8,2042.76,939.47,1746.55,70.76,1892.64,1222.9,1525.36,2575,2102.97,510,980.71,1015.6,1340.2,1330.2,1632.37,102.488,1606.62,182.1,1631.2,195,1638.29
T-52,164,1498.64,69.2,2038.29,942.89,1751.54,73.7,1930.14,1218.9,1537.49,2567,2098.15,529.95,1031.37,1026,1327.55,1373.92,1649.56,103.99,1632.99,183,1635.04,183.9,1661.02
T-51,162.7,1478.44,69.6,2058.77,917.61,1735.01,75.76,1960.18,1218,1533.77,2579,2094.65,530,1026.95,1021.22,1336.55,1397,1672.57,103.12,1634.06,185.12,1673.78,185.2,1690.59
T-50,163.01,1476.59,70,2066.18,924,1723.42,75.08,1950.08,1224,1544.02,2542,2086.84,500.05,1036.27,1020,1328.71,1377.49,1676.41,105,1634.01,188,1655.59,184.5,1672.75
T-49,164.64,1496.88,70.95,2085.75,959.87,1755.95,75,1967.26,1241.9,1562.93,2552,2104.91,505,1002.27,1030.85,1354.83,1380,1650.08,104,1656.32,188.59,1681.54,185,1706.63
T-48,163.5,1502.66,70.35,2102.97,971,1765.42,74.81,1955.47,1241.9,1549.75,2573,2121.87,500,986.8,1054,1381.36,1355.5,1660.62,104.2,1642.29,189.15,1684.56,185.5,1686.88
T-47,164.6,1499.34,68.75,2098.15,965.59,1749.78,74.2,1946.55,1238.9,1543.43,2565,2128.99,528.98,1046.46,1031.43,1380.86,1371.99,1656.34,104.497,1640.78,187,1649,185.1,1680.96
T-46,169.97,1526.61,69.05,2094.65,967.99,1766.53,74.16,1934.77,1227.7,1546.76,2587,2158.33,500,1053.3,1095,1396.92,1419,1662.45,103.5,1641.06,187.492,1638.29,185.98,1673.59
T-45,171,1530.93,70.25,2086.84,963,1767.31,74.32,1969.89,1238.7,1547.22,2629,2152.35,509.99,1098.95,1100.6,1401.56,1422,1666.28,105.4,1677.02,188.2,1661.02,185.5,1646.75
T-44,166.25,1495.08,71,2104.91,930.06,1729.53,73.9,1953.05,1243.8,1535.35,2632,2160.51,524.98,1102.1,1100,1394.89,1420,1670.26,106,1678.74,186.99,1690.59,185.197,1668.86
T-43,161.83,1459.17,73,2121.87,928.93,1723.32,73.55,1925.58,1245,1540.36,2628,2207.02,515,1084.16,1100,1418.35,1449.96,1660.2,105.09,1663.23,185,1672.75,192.599,1675.34
T-42,162.5,1473.92,73.3,2128.99,903.98,1676.77,72.6,1906.48,1243.2,1530.38,2603,2208.53,519.95,1092,1103.99,1397.12,1427,1666.84,103.8,1654,185,1706.63,192.5,1668.28
T-41,161.7,1465.87,72.9,2158.33,919.99,1713.93,72.64,1901.56,1258.8,1525.88,2537,2226.89,500,1115.41,1100,1429.36,1440,1663.11,104.5,1673.14,189.229,1686.88,188,1667.35
T-40,155.77,1443.36,72.35,2152.35,923.1,1708.43,72.5,1885.34,1254.5,1519.91,2560,2247.02,499,1101.19,1105,1412.25,1448,1673.83,105.1,1638.11,187,1680.96,191,1822
T-39,159.9,1467.62,73.8,2160.51,922,1695.98,72.62,1909.05,1266.4,1515.89,2570,2229.05,500,1069.31,1103.2,1418.05,1460,1682.61,104,1641.04,184.45,1673.59,191.19,1839.78
T-38,161.1,1484.26,73.9,2207.02,916.01,1707.14,73.08,1901.9,1255,1512.03,2575,2237.23,500,1086.41,1100,1414.65,1483,1684.52,104,1648.65,182.78,1646.75,194.2,1904.2
T-37,158.08,1464.17,76.3,2208.53,918.09,1692.91,73.49,1907.19,1245,1537.93,2600,2231.41,480.1,1100.57,1135,1403.08,1488,1675.81,102,1635.69,181.903,1668.86,202.6,1895.3
T-36,151.01,1430.28,76.9,2226.89,913,1690.11,76.22,1915.33,1230.2,1519.22,2526,2215.69,489.2,1072.74,1100.76,1419.2,1500,1663.55,103,1666.49,184.7,1675.34,211,1943.88
T-35,155,1455.14,77,2247.02,920,1712.63,76.55,1909,1232,1508.17,2510,2226.36,495,1035.4,1100,1397.66,1500,1664.86,103.48,1660.08,187,1668.28,216,1956.14
T-34,153.5,1436.04,78.1,2229.05,903,1700.98,78,1917.24,1224.9,1510.35,2491,2212.33,465.51,1035.45,1060,1376.88,1494.99,1677.68,102.999,1648.23,186.898,1667.35,210.6,1930.76
T-33,145.8,1393.07,79.15,2237.23,868,1715.2,76.55,1891.52,1236.7,1522.69,2508,2174.64,482.85,1034.08,1139.95,1375.54,1475,1687.99,103,1669.06,186.5,1822,222.5,1952.84
T-32,136.1,1378.43,80,2231.41,900,1747.72,73.59,1891.33,1245.3,1511.4,2550,2173.18,474,1062.87,1086.95,1371.46,1466.96,1713.97,102.899,1730.74,184.999,1839.78,216.57,1894.85
T-31,136.1,1365.13,79.8,2215.69,908,1777.84,73.15,1868.43,1246.3,1493.71,2557,2177.86,466.1,1106.05,1100,1373.22,1450,1759.46,102.955,1716.6,183.992,1904.2,213.199,1909.67
T-30,126.73,1288.61,81,2226.36,884.6,1758.44,73.78,1884.12,1249,1496.61,2554,2189.43,495,1120.54,1112,1391.47,1425,1749.75,102.6,1725.11,182.723,1895.3,207,1894.91
T-29,138,1334.15,80.05,2212.33,878,1765.38,71.75,1898.75,1246.7,1503.66,2540,2182.98,480,1115.85,1103.95,1386.8,1408,1744.74,102.5,1736.37,177.5,1943.88,212,1856.81
T-28,148,1391.87,81,2174.64,877,1772.83,70.54,1914.31,1248.7,1484.67,2551,2206.33,470.01,1099.77,1090,1375.11,1398.89,1771.66,104.5,1703.72,174.5,1956.14,210.1,1871.25
T-27,147,1378.7,82,2173.18,850.1,1764.96,71.5,1927.58,1260,1487.17,2599,2232.72,500,1080.05,1050,1366.32,1339.99,1765.3,104.7,1744.91,173.348,1930.76,209.5,1908.35
T-26,144.68,1352.01,79.95,2177.86,875.8,1780.62,72.96,1935.54,1241.4,1486.04,2593,2285.43,481.82,1111.33,1049.94,1366.76,1338,1764.44,104.9,1755.48,170.2,1952.84,211.88,1925.24
T-25,139,1357.26,80.4,2189.43,856,1779.24,70.45,1899.01,1247,1473.54,2607,2263.9,490.89,1091.98,1030.99,1339.82,1350,1733.89,104,1759.44,166.99,1894.85,195,1915.84
T-24,138.99,1362.32,80.55,2182.98,827.4,1731.8,70.9,1893.18,1247.1,1464.45,2575,2220.35,500,1104.98,1120,1334.66,1345,1747.39,103.199,1733.39,163.5,1909.67,197,1901.09
T-23,132.55,1320.9,79.9,2206.33,837.7,1719.95,69.7,1890.78,1252.3,1484.22,2578,2213.93,476,1076.69,1075.01,1356.43,1349.74,1720.7,104.75,1795.06,162.5,1894.91,193.9,1842.77
T-22,121.05,1263.99,79.9,2232.72,844.8,1726.78,69.81,1886.84,1246,1491.49,2608,2211.25,497.91,1093.72,1111,1366.5,1394,1716.24,103.799,1778.66,177,1856.81,193.4,1842.98
T-21,121,1264.91,78.45,2285.43,826,1700.54,69.3,1915.54,1259.9,1491.35,2623,2237.49,489.99,1085.58,1087.28,1370.77,1437,1746.55,103.001,1777.82,172.989,1871.25,191,1852.4
T-20,124.98,1269.37,78.9,2263.9,840,1705.18,71.46,1951.26,1294.4,1504.05,2755,2218.61,477.02,1111.92,1069.98,1368.9,1429.93,1751.54,104.799,1802.45,172,1908.35,192.31,1827.91
T-19,121.01,1197.39,78.75,2220.35,850,1737.62,73.08,1951.55,1315,1501.76,2750,2212,493.2,1149.81,1098.99,1394.57,1520,1735.01,102.5,1808.42,172.25,1925.24,188.99,1811.29
T-18,127.7,1265.18,78.05,2213.93,850,1747.32,73.11,1934.92,1328,1496.37,2719,2195.19,490,1159.95,1085,1401.81,1439.99,1723.42,102.5,1827.99,169,1915.84,186.43,1826.67
T-17,131.27,1305.99,77.25,2211.25,860,1753.19,70.7,1903.61,1350.8,1498.97,2758,2189.07,510,1154.12,1089,1410.16,1420,1755.95,108,1817.97,167.998,1901.09,187.5,1831.99
T-16,131,1309.09,79,2237.49,860.9,1741.34,70,1885.92,1342.7,1495.11,2735,2178.73,510.5,1175.15,1119,1408.64,1395,1765.42,111,1848.82,165.1,1842.77,188.1,1856.59
T-15,130.38,1332.62,79.5,2218.61,859.3,1770.56,68.95,1889.75,1330,1462.82,2756,2170.09,504.99,1174.95,1111,1398.7,1324,1749.78,112,1835.21,177,1842.98,198.489,1851.09
T-14,125.63,1325.49,79.45,2212,895.8,1795.4,70.75,1869.78,1326.9,1449.2,2721,2162.25,496.02,1203.97,1138.89,1422.08,1314.99,1766.53,112,1839.38,182.6,1852.4,198.45,1848.52
T-13,124.56,1341.24,78,2195.19,897,1807.46,71.68,1877.07,1309.4,1459.03,2759,2159.96,510,1217.67,1138.99,1437.47,1294.53,1767.31,113.5,1821.53,180,1827.91,200,1829.22
T-12,126,1350.48,78.95,2189.07,891.3,1810.9,72.94,1902.7,1328.5,1459.22,2736,2146.09,535,1205.12,1194.99,1433.82,1290,1729.53,114.8,1827.74,172.997,1811.29,196.999,1800.99
T-11,121.38,1333.49,79.1,2178.73,877.8,1788.14,73.11,1904.02,1323,1441.36,2767,2174.59,600,1208.35,1200,1441.58,1304.99,1723.32,114.15,1799.93,181.289,1826.67,195,1761.8
T-10,120.51,1322,79,2170.09,888,1815.6,71.5,1896.7,1305,1428.46,2819,2176,640,1165.11,1210.01,1433.22,1291.5,1676.77,115,1801.42,185.1,1831.99,189.999,1764.32
T-9,117.9,1301.41,79.15,2162.25,889,1813.59,71.42,1919.27,1315,1417,2799,2229.2,655,1202.92,1225,1436.38,1288.44,1713.93,114.3,1772.35,201.294,1856.59,189.763,1757.46
T-8,123.26,1315.13,78.8,2159.96,894,1843.43,72.15,1884.41,1304.8,1425,2860,2266.05,709,1198.83,1229.99,1431.09,1300,1708.43,115.6,1799.36,212,1851.09,186.79,1765.91
T-7,123.5,1340.09,79.45,2146.09,890,1852.02,70,1841.73,1304.5,1434.18,2863,2234.14,700,1177.26,1240,1417.65,1300,1695.98,116.21,1792.05,208.5,1848.52,183.89,1753.67
T-6,122,1336.09,79.95,2174.59,890.6,1848.21,69.9,1857.23,1282.5,1438.57,2849,2217.39,709,1187.86,1230.18,1426.84,1301.1,1707.14,118.5,1816.9,200.1,1829.22,182.1,1649
T-5,127.29,1371.31,79.95,2176,905,1859.99,69.5,1888.15,1271,1428.47,2850,2231.68,701.5,1208.19,1298.35,1433.9,1305,1692.91,116,1854.47,189.6,1800.99,183,1638.29
T-4,125.35,1369.59,79.35,2229.2,888,1844.33,69.29,1891.09,1305,1430.3,2892,2217.56,695,1212.75,1333,1431.21,1304.98,1690.11,116.2,1872,183.997,1761.8,185.12,1661.02
T-3,119.99,1356.18,80.8,2266.05,867,1855.97,68.5,1896.62,1325.2,1427.94,2835,2226.61,700,1197.2,1319.99,1430.12,1295,1712.63,116.8,1855.63,185.999,1764.32,188,1690.59
T-2,119.26,1367.71,80.5,2234.14,849.8,1845.78,69.5,1907.48,1357,1426.87,2756,2210.51,780,1211.44,1315,1436.06,1283,1700.98,116.751,1874.73,192,1757.46,188.59,1672.75
T-1,124.75,1406.21,81.5,2217.39,823.2,1799.94,69.6,1895.64,1391,1416.69,2760,2218.77,745,1175.83,1275,1418.67,1234,1715.2,121,1866.49,192,1765.91,189.15,1706.63
T,121.53,1388.11,82.3,2231.68,827.1,1809.83,68.71,1879.42,1380,1408.55,2700,2189.61,706.1,1178.17,1215,1410.11,1224.99,1747.72,128,1879.41,195.53,1753.67,187,1686.88
T+1,123,1377.97,82,2217.56,825.9,1781.51,67.63,1882.41,1310,1425.49,2522,2173.98,700,1220.45,1210.98,1419.18,1234.99,1777.84,133.2,1907.63,188.1,1693.21,187.492,1680.96
T+2,121.31,1363.15,84.25,2226.61,820,1780.36,67.55,1894.35,1303,1425.5,2546,2162.19,678.04,1226.17,1200,1440.3,1189.9,1758.44,133,1903.55,192,1709.17,188.2,1673.59
T+3,119.8,1347.58,83.8,2210.51,784.9,1714.07,67.86,1913.12,1302.2,1401.73,2530,2161.49,670,1278.53,1199.99,1455.63,1185.2,1765.38,132.49,1917.29,191.4,1695.47,186.99,1646.75
T+4,120.37,1363.4,82.9,2218.77,795,1755.63,69.18,1938.36,1300,1385.84,2480,2141.5,670,1308.14,1185,1465.09,1178.8,1772.83,128.889,1891.27,206.45,1666.75,185,1668.86
T+5,117.83,1323.29,82.95,2189.61,817.9,1783.38,71.2,1935.88,1272.5,1359.69,2514,2137.08,625,1357.44,1185.15,1474.03,1178.9,1764.96,125.5,1890.01,214.5,1679.32,185,1675.34
T+6,117,1309.31,78.3,2173.98,812,1780.6,70.99,1942.46,1239.7,1352.37,2540,2148.48,623.1,1320.7,1115,1475.12,1202.1,1780.62,125.25,1868.62,210,1665.04,189.229,1668.28
T+7,116,1254.65,78.8,2162.19,818.2,1793.96,70.5,1940.85,1208.9,1335.89,2548,2128.21,629.49,1362.86,1080,1468.31,1235,1779.24,124.6,1878,186.5,1655.75,187,1667.35
T+8,124.43,1288.05,76.4,2161.49,801.9,1769.94,69,1936.07,1225,1335.21,2570,2119.09,619.99,1341.64,1080,1464.67,1238.9,1731.8,124.49,1855.98,186,1659.57,184.45,1822
T+9,124.93,1292.19,77,2141.5,797.2,1766.28,70.83,1915.89,1233.2,1338.43,2567,2127.72,615,1317.07,1077,1482.11,1245,1719.95,125,1833.28,181,1622.01,182.78,1839.78
