Date,TMK(SPO1),TMK(SPO1)_MICEX,TMK(SPO2),TMK(SPO2)_MICEX,Мечел,Мечел_MICEX,Алроса,Алроса_MICEX,Фосагро(SPO1),Фосагро(SPO1)_MICEX,Фосагро(SPO2),Фосагро(SPO2)_MICEX,Синергия (SPO1),Синергия (SPO1)_MICEX,Синергия (SPO2),Синергия (SPO2)_MICEX,Синергия (SPO3),Синергия (SPO3)_MICEX,Разгуляй (SPO1),Разгуляй (SPO1)_MICEX,Разгуляй (SPO2),Разгуляй (SPO2)_MICEX,Разгуляй (SPO3),Разгуляй (SPO3)_MICEX
T-2,121.31,1367.71,80.5,2234.14,849.8,1845.78,69.5,1907.48,1357,1427.97,2756,2210.51,780,1211.44,1315,1436.06,1283,1353.75,116.751,1874.73,192,1757.46,188.59,1672.75
T-1,123,1406.21,81.5,2217.39,823.2,1799.94,69.6,1895.64,1391,1417.66,2760,2218.77,745,1175.83,1275,1418.67,1234,1334.53,121,1866.49,192,1765.91,189.15,1706.63
T,121.53,1388.11,82.3,2231.68,827.1,1809.83,68.71,1879.42,1380,1411.29,2700,2189.61,706.1,1178.17,1215,1410.11,1224.99,1306.46,128,1879.41,195.53,1753.67,187,1686.88
T+1,124.75,1377.97,82,2217.56,825.9,1781.51,67.63,1882.41,1310,1425.72,2522,2173.98,700,1220.45,1210.98,1419.18,1234.99,1323.72,133.2,1907.63,188.1,1693.21,187.492,1680.96
T+2,120.01,1363.15,84.25,2226.61,820,1780.36,67.55,1894.35,1303,1426.94,2546,2162.19,678.04,1226.17,1200,1440.3,1189.9,1332.64,133,1903.55,192,1709.17,188.2,1673.59
T+3,119.8,1347.58,83.8,2210.51,784.9,1714.07,67.86,1913.12,1302.2,1401.46,2530,2161.49,670,1278.53,1199.99,1455.63,1185.2,1356.27,132.49,1917.29,191.4,1695.47,186.99,1646.75
T+4,125.03,1363.4,82.9,2218.77,795,1755.63,69.18,1938.36,1300,1386.56,2480,2141.5,670,1308.14,1185,1465.09,1178.8,1368.09,128.889,1891.27,206.45,1666.75,185,1668.86
T+5,127,1323.29,82.95,2189.61,817.9,1783.38,71.2,1935.88,1272.5,1354.35,2514,2137.08,625,1357.44,1185.15,1474.03,1178.9,1379.32,125.5,1890.01,214.5,1679.32,185,1675.34
T+6,122,1309.31,78.3,2173.98,812,1780.6,70.99,1942.46,1239.7,1354.44,2540,2148.48,623.1,1320.7,1115,1475.12,1202.1,1384.44,125.25,1868.62,210,1665.04,189.229,1668.28
T+7,123.5,1254.65,78.8,2162.19,818.2,1793.96,70.5,1940.85,1208.9,1339.4,2548,2128.21,629.49,1362.86,1080,1468.31,1235,1414.37,124.6,1878,186.5,1655.75,187,1667.35
T+8,123.26,1288.05,76.4,2161.49,801.9,1769.94,69,1936.07,1225,1336.19,2570,2119.09,619.99,1341.64,1080,1464.67,1238.9,1412.55,124.49,1855.98,186,1659.57,184.45,1694.37
T+9,117.9,1292.19,77,2141.5,797.2,1766.28,70.83,1915.89,1233.2,1339.67,2567,2127.72,615,1317.07,1077,1482.11,1245,1402.35,125,1833.28,181,1622.01,182.78,1688.31
T+10,120.51,1327.63,77.1,2137.08,785,1744.95,70,1915.09,1252.6,1336.8,2578,2106.3,646,1365.24,1082,1477.78,1270.1,1395.91,124.5,1805.84,181,1666.47,181.903,1694.44
T+11,121.38,1327.77,77.5,2148.48,777.9,1749.65,70,1927.7,1239.9,1339.04,2500,2093.09,640,1361.75,1084,1493.21,1237.4,1415.75,123.5,1816,179,1629.28,184.7,1739.26
T+12,126,1320.64,77.95,2128.21,780,1741.84,69,1926.9,1288,1377.95,2481,2035.77,630,1373.2,1088,1489.06,1224.9,1400.19,122.5,1785.39,180.95,1640.9,187,1795.67
